Benchmark,time,Nexps,objective,operating time ratio of the reactors,scheduling mode,Nreactors,operating time ratio of the analyzers,condition,random_seed,Nanalyzers
A1,522.4615637,107,0.42300956,0.600880254,ARIA-PI,12,0.574204919,"[[110.0, 18.362545449878535, 4.175, 'e']]",7453,4
A1,385.5418488,74,0.423376817,0.628305282,ARIA-PI,12,0.700313081,"[[110.0, 20.815941641751337, 4.175, 'e']]",4054,4
A1,513.6338834,105,0.423359932,0.659462488,ARIA-PI,12,0.574339057,"[[110.0, 20.867061022116623, 4.175, 'e']]",742,4
A1,541.8932859,99,0.423523788,0.691971885,ARIA-PI,12,0.599749081,"[[110.0, 20.006084272830403, 4.175, 'e']]",4945,4
A1,451.7735266,90,0.423518281,0.674259983,ARIA-PI,12,0.619779565,"[[110.0, 20.10863979649175, 4.175, 'e']]",9623,4
A1,526.2704323,82,0.42351787,0.652264464,ARIA-PI,12,0.560548307,"[[110.0, 19.722130269202747, 4.175, 'e']]",5966,4
A1,494.5035692,85,0.423511988,0.54353757,ARIA-PI,12,0.566224427,"[[110.0, 20.18132890811455, 4.175, 'e']]",3130,4
A1,583.3141783,96,0.423491893,0.631592414,ARIA-PI,12,0.608591413,"[[110.0, 20.33737758845541, 4.175, 'e']]",6574,4
A1,509.8985136,91,0.423496888,0.656515384,ARIA-PI,12,0.666799355,"[[110.0, 19.53838384226866, 4.175, 'e']]",9297,4
A1,312.9959099,65,0.419177453,0.623965696,ARIA-PI,12,0.734833884,"[[110.0, 15.771435460874018, 4.175, 'e']]",6622,4
A1,500.6620551,94,0.422978435,0.750697402,ARIA-PI,12,0.649140467,"[[110.0, 21.686513996250095, 4.175, 'e']]",5710,4
A1,477.0913912,87,0.423000805,0.633214005,ARIA-PI,12,0.597369823,"[[110.0, 21.64816034124474, 4.175, 'e']]",9452,4
A1,414.3550674,82,0.423469199,0.690473263,ARIA-PI,12,0.63954811,"[[110.0, 19.387529203019348, 4.175, 'e']]",8451,4
A1,425.6507538,95,0.423494409,0.631274939,ARIA-PI,12,0.622576132,"[[110.0, 20.321031923462737, 4.175, 'e']]",4203,4
A1,571.7093295,110,0.423173102,0.681149247,ARIA-PI,12,0.594707804,"[[110.0, 18.621924770697838, 4.175, 'e']]",7692,4
A1,564.8943387,91,0.423519888,0.616687734,ARIA-PI,12,0.513370342,"[[110.0, 19.750489053537404, 4.175, 'e']]",9181,4
A1,449.8102834,88,0.423399175,0.659342153,ARIA-PI,12,0.578021467,"[[110.0, 19.129522422119198, 4.175, 'e']]",2103,4
A1,415.8223587,109,0.423317501,0.639623257,ARIA-PI,12,0.613242637,"[[110.0, 20.985747735611774, 4.175, 'e']]",8879,4
A1,452.3072211,75,0.422341073,0.543886796,ARIA-PI,12,0.574830531,"[[109.41113948822021, 22.52527662563392, 4.175, 'e']]",5459,4
A1,406.1484382,81,0.421111169,0.623799533,ARIA-PI,12,0.627849269,"[[107.08259105682373, 21.70313142783826, 4.175, 'e']]",1449,4
