Benchmark,analysis time,time,Nexps,Nreactors,TCT,operating time ratio of the analyzers,operating time ratio of the reactors,scheduling mode
A1,20 min,835.4987651,61,8,0.375364112,0.286794129,0.375364112,ARIA-PI
A1,20 min,548.1423848,38,8,0.284739505,0.92278372,0.284739505,ARIA-PI
A1,20 min,894.5615298,73,8,0.451538226,-0.012273762,0.451538226,ARIA-PI
A1,20 min,1184.058351,80,8,0.419481618,-0.278664538,0.419481618,ARIA-PI
A1,20 min,783.5738853,53,8,0.407521143,0.490696464,0.407521143,ARIA-PI
A1,20 min,923.3693298,68,8,0.415757652,0.093082748,0.415757652,ARIA-PI
A1,20 min,1099.577493,75,8,0.443052627,-0.132471327,0.443052627,ARIA-PI
A1,20 min,919.7280477,66,8,0.409594238,0.140691603,0.409594238,ARIA-PI
A1,20 min,950.325178,69,8,0.488074951,0.060217935,0.488074951,ARIA-PI
A1,20 min,1352.913857,40,2,0.637998558,0.586394732,0.637998558,ARIA-PI
A1,20 min,1558.967838,41,2,0.658112955,0.488971145,0.658112955,ARIA-PI
A1,20 min,1565.347104,42,2,0.685194206,0.463523489,0.685194206,ARIA-PI
A1,20 min,1155.325222,37,2,0.645700636,0.727063146,0.645700636,ARIA-PI
A1,20 min,1434.115483,41,2,0.688527384,0.533976165,0.688527384,ARIA-PI
A1,20 min,1451.024555,41,2,0.69795055,0.52788102,0.69795055,ARIA-PI
A1,20 min,1651.639713,40,2,0.734656249,0.478714241,0.734656249,ARIA-PI
A1,20 min,1944.697833,48,2,0.729584459,0.18789159,0.729584459,ARIA-PI
A1,20 min,1864.638294,53,2,0.677632942,0.101009584,0.677632942,ARIA-PI
A1,20 min,1865.886264,53,2,0.668460171,0.100559734,0.668460171,ARIA-PI
A1,20 min,1548.386482,43,2,0.686106267,0.446489067,0.686106267,ARIA-PI
A1,20 min,1666.558499,46,2,0.694236737,0.334447638,0.694236737,ARIA-PI
A1,20 min,2029.504231,55,2,0.690366639,-0.004715264,0.690366639,ARIA-PI
A1,20 min,1577.796653,47,2,0.693586027,0.34329511,0.693586027,ARIA-PI
A1,20 min,1252.487808,36,2,0.696449221,0.715187493,0.696449221,ARIA-PI
A1,20 min,1348.398137,40,2,0.680955894,0.588022495,0.680955894,ARIA-PI
A1,20 min,1483.441898,43,2,0.673493682,0.469899377,0.673493682,ARIA-PI
A1,20 min,2552.20409,68,2,0.710876649,-0.494056677,0.710876649,ARIA-PI
A1,20 min,1564.413173,45,2,0.698247242,0.394415695,0.698247242,ARIA-PI
A1,20 min,1145.241269,34,2,0.665579714,0.800142512,0.665579714,ARIA-PI
