Benchmark,time,Nexps,objective,operating time ratio of the reactors,scheduling mode,Nreactors,operating time ratio of the analyzers,condition,random_seed,Nanalyzers
A1,534.8758312,54,0.423492414,0.381410456,SRIA-PI,12,0.299134847,"[[110.0, 20.33412610198821, 4.175, 'e']]",8313,6
A1,491.8190411,47,0.423139512,0.389490408,SRIA-PI,12,0.311767786,"[[110.0, 21.390582272863252, 4.175, 'e']]",9494,6
A1,340.6059556,45,0.423463414,0.412105292,SRIA-PI,12,0.401245675,"[[110.0, 19.361389483305764, 4.175, 'e']]",6444,6
A1,564.0627497,77,0.423416376,0.53732961,SRIA-PI,12,0.342751464,"[[110.0, 20.683928543240352, 4.175, 'e']]",5427,6
A1,480.1294706,55,0.423241045,0.422169349,SRIA-PI,12,0.38184145,"[[110.0, 21.173880058927725, 4.175, 'e']]",7140,6
A1,484.3930612,48,0.42348342,0.287472748,SRIA-PI,12,0.309665873,"[[110.0, 20.38838360947114, 4.175, 'e']]",4889,6
A1,353.1738625,42,0.423434813,0.355868483,SRIA-PI,12,0.330337771,"[[110.0, 19.247622754401174, 4.175, 'e']]",247,6
A1,505.4331643,62,0.422880034,0.397953066,SRIA-PI,12,0.349535169,"[[110.0, 18.187997142449955, 4.175, 'e']]",9311,6
A1,658.0385437,65,0.423403995,0.392004328,SRIA-PI,12,0.298868005,"[[110.0, 19.144461680371883, 4.175, 'e']]",7453,6
A1,366.419626,41,0.421730103,0.438019205,SRIA-PI,12,0.336590413,"[[110.0, 23.27035561827974, 4.175, 'e']]",4054,6
A1,404.0658931,55,0.423525319,0.478326106,SRIA-PI,12,0.39597502,"[[110.0, 19.91386383895012, 4.175, 'e']]",742,6
A1,609.3980728,81,0.423522079,0.532736127,SRIA-PI,12,0.361011972,"[[110.0, 20.046818783396294, 4.175, 'e']]",4945,6
A1,601.8309951,67,0.423490971,0.4037323,SRIA-PI,12,0.310164595,"[[110.0, 20.34319109036656, 4.175, 'e']]",9623,6
A1,651.6064203,80,0.420424959,0.524824114,SRIA-PI,12,0.347858246,"[[110.0, 16.34757776834102, 4.175, 'e']]",5966,6
A1,589.3878311,54,0.423511758,0.34886385,SRIA-PI,12,0.288434866,"[[110.0, 19.65462984868449, 4.175, 'e']]",3130,6
A1,492.6818792,48,0.423434683,0.392169162,SRIA-PI,12,0.324753166,"[[110.0, 20.615060138832497, 4.175, 'e']]",6574,6
A1,723.0155585,76,0.423335873,0.454354001,SRIA-PI,12,0.308891463,"[[110.0, 20.9358359907951, 4.175, 'e']]",9297,6
A1,502.2492847,50,0.423351145,0.38461088,SRIA-PI,12,0.311930094,"[[110.0, 18.9956251947459, 4.175, 'e']]",6622,6
A1,682.3435633,77,0.421746739,0.436639963,SRIA-PI,12,0.302877726,"[[110.0, 23.253312111014523, 4.175, 'e']]",5710,6
A1,620.8396409,67,0.423483889,0.421771583,SRIA-PI,12,0.28992994,"[[110.0, 19.46116232404771, 4.175, 'e']]",9452,6
A1,417.1981486,42,0.42236855,0.347671475,SRIA-PI,12,0.287633108,"[[110.0, 22.555424765581897, 4.175, 'e']]",8451,6
A1,396.7344472,51,0.423525277,0.429400494,SRIA-PI,12,0.386488581,"[[110.0, 19.90185833392573, 4.175, 'e']]",4203,6
A1,571.2259527,68,0.422965525,0.378909237,SRIA-PI,12,0.35595955,"[[110.0, 18.30072178724405, 4.175, 'e']]",7692,6
A1,409.3483766,47,0.423520873,0.429374297,SRIA-PI,12,0.358293021,"[[110.0, 20.069118252296573, 4.175, 'e']]",9181,6
A1,475.2697236,53,0.422589445,0.416638628,SRIA-PI,12,0.294569574,"[[110.0, 22.271156316024385, 4.175, 'e']]",2103,6
A1,554.6436989,67,0.423472418,0.414126604,SRIA-PI,12,0.342562262,"[[110.0, 19.402745845669326, 4.175, 'e']]",8879,6
A1,433.2577715,48,0.422946259,0.425289587,SRIA-PI,12,0.338520567,"[[110.0, 21.74077384727426, 4.175, 'e']]",5459,6
A1,476.7996887,49,0.423073498,0.357457465,SRIA-PI,12,0.321588577,"[[110.0, 21.517654726054865, 4.175, 'e']]",1449,6
